ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija,USP,ko_fix,Sumariafix
"305740",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Ljubostinje,Drniš
"305731",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Lukar,Drniš
"305723",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Kričke,Drniš
"305715",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Ključ,Drniš
"305707",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Kljake,Drniš
"305693",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Karalić,Drniš
"305685",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Kaočine,Drniš
"305677",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Kadina Glavica,Drniš
"305669",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Gradac,Drniš
"305642",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Gornje Vinovo,Drniš
"305634",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Gornje Utore,Drniš
"305626",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Drniš,Drniš
"305618",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Drinovci,Drniš
"305600",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Donje Vinovo,Drniš
"305596",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Donje Utore,Drniš
"305588",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Čvrljevo,Drniš
"305570",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Čitluk,Drniš
"305561",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Čavoglave,Drniš
"305553",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Brištane,Drniš
"305545",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Bogetić Miljevački,Drniš
"305537",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Bogatić Prominski,Drniš
"305529",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Biočić,Drniš
"305502",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Baljci,Drniš
"305499",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Badanj,Drniš
"325996",Sinj,Splitsko-dalmatinska županija,Split,Šumarija Sinj,Split,Vrlika,Sinj
"325961",Sinj,Splitsko-dalmatinska županija,Split,Šumarija Sinj,Split,Vinalić,Sinj
"325783",Sinj,Splitsko-dalmatinska županija,Split,Šumarija Sinj,Split,Podosoje,Sinj
"325732",Sinj,Splitsko-dalmatinska županija,Split,Šumarija Sinj,Split,Maovice,Sinj
"325686",Sinj,Splitsko-dalmatinska županija,Split,Šumarija Sinj,Split,Kosore,Sinj
"325643",Sinj,Splitsko-dalmatinska županija,Split,Šumarija Sinj,Split,Ježević,Sinj
"314137",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Žagrović,Knin
"314102",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Vrbnik,Knin
