USP;Sumarija;GJ;Odsjek;KO;KC;Povrsina;stranica;odluka;napomena;ko_mb
Split;Korèula;Škanja rat;23b;Blato;28362/6;19.75;2;1;Dubrovnik;306126
Split;Korèula;Škanja rat;23b;Blato;28362/6;19.75;2;1;Dubrovnik;306126
Split;Korèula;Škanja rat;23b;Blato;28362/6;19.75;2;1;Dubrovnik;306126
Split;Korèula;Škanja rat;24a;Blato;28362/1;10;2;1;Dubrovnik;306126
Split;Korèula;Škanja rat;24a;Blato;28362/1;10;2;1;Dubrovnik;306126
Split;Korèula;Škanja rat;24a;Blato;28362/1;10;2;1;Dubrovnik;306126
Split;Korèula;Škanja rat;dio 28a;Blato;12955/1;38.56;2;1;Dubrovnik;306126
Split;Korèula;Škanja rat;dio 28a;Blato;12955/1;38.56;2;1;Dubrovnik;306126
Split;Korèula;Škanja rat;dio 28a;Blato;12955/1;38.56;2;1;Dubrovnik;306126
Split;Korèula;Škanja rat;12c;Smokvica;4235/1;2;2;1;NA;314749
Split;Korèula;Škanja rat;12c;Smokvica;4235/7;2;2;1;NA;314749
Split;Korèula;Škanja rat;12c;Smokvica;4235/10;2;2;1;NA;314749
Split;Korèula;Škanja rat;5a;Vela luka;d.2430/2169;8.4;2;1;ruèni ko;314765
Split;Korèula;Škanja rat;5b;Vela luka;d.2430/2169;2.8;2;1;ruèni ko;314765
Split;Korèula;Škanja rat;5c;Vela luka;d.2430/2169;18.09;2;1;ruèni ko;314765
Split;Korèula;Škanja rat;5c;Vela luka;d.2340/9611;18.09;2;1;ruèni ko;314765
Split;Korèula;Škanja rat;5d;Vela luka;d.2430/2169;19.41;2;1;ruèni ko;314765
Split;Korèula;Škanja rat;5e;Vela luka;d.2430/2169;6.3;2;1;ruèni ko;314765
Split;Korèula;Nakovanj;13;Viganj;4251/8;3;2;1;NA;314773
Split;Korèula;Pupnatska luka;32a;Lumbarda;2635/10;15;3;1;NA;314676
Split;Korèula;Pupnatska luka;47a;Èara;2378/1;15;3;1;NA;314641
Split;Korèula;Pupnatska luka;45a;Èara;2206/1;10;3;1;NA;314641
Split;Korèula;Pupnatska luka;45a;Èara;2006/2;10;3;1;NA;314641
Split;Korèula;Pupnatska luka;45a;Èara;2205/1;10;3;1;NA;314641
Split;Korèula;Lastovo;34a;Lastovo;9743/3;10;3;1;NA;316717
Split;Korèula;Lastovo;33a;Lastovo;9743/3;10;3;1;NA;316717
Split;Korèula;Lastovo;33a;Lastovo;9770;10;3;1;NA;316717
Split;Korèula;Lastovo;33a;Lastovo;9958/2;10;3;1;NA;316717
Split;Korèula;Lastovo;33a;Lastovo;9989;10;3;1;NA;316717
Split;Korèula;Lastovo;33a;Lastovo;10011;10;3;1;NA;316717
Split;Korèula;Lastovo;33a;Lastovo;10031;10;3;1;NA;316717
Split;Korèula;Lastovo;33a;Lastovo;10125;10;3;1;NA;316717
Split;Korèula;Lastovo;33a;Lastovo;10739;10;3;1;NA;316717
Split;Korèula;Lastovo;13a;Lastovo;13068/1;15;3;1;NA;316717
Split;Metkoviæ;Nova sela;17a;Struge;d.11866;5;3;1;NA;317195
Split;Metkoviæ;Nova sela;30a;Struge;d.14293;5;3;1;NA;317195
Split;Metkoviæ;Nova sela;44a;Borovci;d.1268/8;5;3;1;NA;317128
Split;Metkoviæ;Nova sela;55a;Borovci;d.1580/1;5;3;1;NA;317128
Split;Metkoviæ;Nova sela;75a;Vid;d.1448/1;5;3;1;NA;317209
Split;Metkoviæ;Nova sela;76a;Vid;d.1448/1;5;3;1;NA;317209
Split;Metkoviæ;Šibovnica;27a;Dobranje;d.2059/1;5;3;1;Metkoviæ;317144
Split;Metkoviæ;Šibovnica;27a;Dobranje;d.2059/1;5;3;1;Metkoviæ;317144
Split;Metkoviæ;Šibovnica;34a;Vidonje;d.1692/1;5;3;1;NA;317217
Split;Metkoviæ;Šibovnica;35a;Vidonje;d.1692/1;5;3;1;NA;317217
Split;Metkoviæ;Šibovnica;41a;Vidonje;d.1692/1;5;3;1;NA;317217
Split;Metkoviæ;Šibovnica;44b;Vidonje;d.1692/1;5;3;1;NA;317217
Split;Metkoviæ;Šibovnica;46b;Vidonje;d.2455/1;5;3;1;NA;317217
Split;Metkoviæ;Šibovnica;50a;Vidonje;d.2455/1;5;3;1;NA;317217
Split;Metkoviæ;Šibovnica;52a;Vidonje;d.2455/1;5;3;1;NA;317217
Split;Metkoviæ;Šibovnica;53b;Vidonje;d.2144/1;5;3;1;NA;317217
Split;Metkoviæ;Rujnica;4a;Plina;d.675;5;3;1;NA;312959
Split;Metkoviæ;Rujnica;5a;Plina;d.675;5;3;1;NA;312959
Split;Metkoviæ;Rujnica;26a;Desne;d.363;10;3;1;NA;317136
Split;Metkoviæ;Rujnica;27a;Desne;d.363;5;3;1;NA;317136
Split;Metkoviæ;Rujnica;28a;Desne;d.363;5;3;1;NA;317136
Split;Metkoviæ;Rujnica;41a;Desne;d.3798/1;5;3;1;NA;317136
Split;Metkoviæ;Rujnica;42a;Desne;d.3798/1;5;3;1;NA;317136
Split;Metkoviæ;Rujnica;50a;Desne;d.3798/1;5;3;1;NA;317136
Split;Metkoviæ;Rujnica;51a;Desne;d.3798/1;5;3;1;NA;317136
Split;Metkoviæ;Rujnica;52a;Desne;d.3798/1;5;3;1;NA;317136
Split;Metkoviæ;Slivno;1a;Slivno;d.3682/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;1a;Slivno;d.3682/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;1a;Slivno;d.3682/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;2a;Slivno;d.3682/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;2a;Slivno;d.3682/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;2a;Slivno;d.3682/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;9a;Slivno;d.5009;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;9a;Slivno;d.5009;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;9a;Slivno;d.5009;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;10a;Slivno;d.4996/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;10a;Slivno;d.4996/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;10a;Slivno;d.4996/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;14a;Slivno;d.6579/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;14a;Slivno;d.6579/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;14a;Slivno;d.6579/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;15a;Slivno;d.6579/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;15a;Slivno;d.6579/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;15a;Slivno;d.6579/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;52b;Slivno;d.9572/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;52b;Slivno;d.9572/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;52b;Slivno;d.9572/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;62a;Slivno;d.10990/1;5;3;1;Metkoviæ;317187
Split;Metkoviæ;Slivno;62a;Slivno;d.10990/1;5;3;1;Metkoviæ;317187
