USP;Sumarija;GJ;Odsjek;KO;KC;Povrsina;stranica;odluka;napomena
Split;Zadar;Škabrnja;neuređen;Škabrnje;194;36.27;4;1;
Split;Zadar;Škabrnja;neuređen;Škabrnje;1068/5;252.1;4;1;
Split;Zadar;Sukošan;neuređen;Sukošan;3017/1;133.11;4;1;
Split;Zadar;Sukošan;neuređen;Sukošan;3204/32;13.41;4;1;
Split;Zadar;Sukošan;neuređen;Sukošan;3016/1;85.78;4;1;
Split;Zadar;Sukošan;neuređen;Sukošan;3673/1;131.08;4;1;
Gospić;Gračac;Istočni Resnik;107a;Tomingaj;3127/2, d.3127/5;61.88;4;1;
Gospić;Gračac;Istočni Resnik;105a;Tomingaj;d.3127/1, d.3127/5;46.11;4;1;
Senj;Krk;Obzova;;Batomalj;d.371/2, d.371/3;13.43;4;1;nije poznata KO niti odsjeci, pretpostavljen batomalj
Vukovar;Ilok;Iločke šume;7g;Šarengrad;2142, 2433, 2526, 2494, 2494, 2495, 2496, 2498, 2499, 2500, 2501, 2502, 2503, 2503, 2504, 2505, 2506, 2507, 2508, 2509, 2510, 2511, 2457, 2458, 2456, 2459, 2460, 2461, 2463, 2464, 2455, 2454, 2465, 2466, 2467, 2568, 2469, 2562/3, 2453, 2452, 2470, 2471, 2451, 2444/3, 2443/3, 2450, 2449/2, 2449/1, 2472, 2473/1, 2473/2, 2474, 2448, 2444/2, 2443/2, 2447, 2462/2, 2475, 2446, 2445/2, 2478, 2479;89.45;5;1;
Buzet;Cres-Lošinj;Vrana;1e;Osor;d.117/1, d.117/5;15.89;5;1;
Buzet;Labin;Smokvica;57a;Ripenda;201/1;25.92;5;1;
Buzet;Opatija-Matulji;Liburnija;55b;Kalac;3567/91-18;44.92;5;1;
Buzet;Pazin;Butoniga;13e;Gologorica;787/3, 787/4, 787/6, 787/7, 787/9, 788/1, 788/2, 792/1, 794/1, 797/2, 797/6, 799/3, 799/5, 799/6, 799/9, 799/10, 801/2, 809/2, 809/1;2.16;5;1;
Buzet;Pazin;Vetva;17a;Lindar;5585/1, 5585/3, 6394, 6403/2, 6425/21, 6510/2, 6547/2, 6595, 6603;1.35;5;1;
Buzet;Pazin;Vetva;17b;Lindar;6485/1;1.31;5;1;
Buzet;Pazin;Vetva;28h;Gračišće;3319/6, 3319/12, 3319/13, 3337/2, 3373/3, 3373/5, 3373/6, 3379/2, 3386/1, 3435/1, 3435/3, 3441/1, 3441/2, 3475, 3551/66, 3630/1, 3638, 3667/1, 3667/12, 3667/18, 3687, 3734, 3735, 3736, 3768/27, 3792, 3846, 4840/1, 3830/2, 4877/8, 4906/119, 4906/135, 4999/10, 5006/2;11.87;5;1;
Buzet;Poreč;Dubrava;8b;Poreč;3086, 3140/4, 3144, 3146, 3150;1.22;5;1;
Buzet;Poreč;Dubrava;12b;Vabriga;454;0.41;5;1;
Buzet;Poreč;Dubrava;26e;Kaštelir;631/3, 728/3, 724/1, 828/1, 1466/2;1.61;5;1;
Buzet;Poreč;Dubrava;26h;Vižinada;2043/2;0.73;5;1;
Buzet;Poreč;Dubrava;53c;Višnjan;1786/6, 1900;0.64;5;1;
Buzet;Poreč;Dubrava;57i;Sveti Ivan;1078/5, 1081/5, 1173/7, 1181/5;1.33;5;1;
Buzet;Poreč;Dubrava;63f;Žbandaj;2054/1, 2354/1, 2355/1, 2355/2, 2356/2, 2356/3, 2356/4, 2357/1, 2359, 2395, 2396, 2397, 2398/1, 2398/2, 2404;1.9;5;1;
Buzet;Pula;Proština;62b;Galižana;334/1;10;5;1;
Buzet;Rovinj;Rovinj;112h;Rovinj;2710/3, 2730/7;2.36;5;1;
